time,expn,gene,gt,light,rep
24,0.744432233,LUX,Col,LL,rep1
27,0.34206596,LUX,Col,LL,rep1
30,0.724985279,LUX,Col,LL,rep1
33,1.599704457,LUX,Col,LL,rep1
36,1.273269376,LUX,Col,LL,rep1
39,0.805112053,LUX,Col,LL,rep1
42,0.613320447,LUX,Col,LL,rep1
45,0.708897563,LUX,Col,LL,rep1
48,0.512672555,LUX,Col,LL,rep1
51,0.405714214,LUX,Col,LL,rep1
54,0.784684248,LUX,Col,LL,rep1
57,0.664010847,LUX,Col,LL,rep1
24,0.694346547,LUX,rve468,LL,rep1
27,0.574157641,LUX,rve468,LL,rep1
30,0.487652562,LUX,rve468,LL,rep1
33,0.558410545,LUX,rve468,LL,rep1
36,0.623204532,LUX,rve468,LL,rep1
39,1.194876283,LUX,rve468,LL,rep1
42,2.084971062,LUX,rve468,LL,rep1
45,1.423421875,LUX,rve468,LL,rep1
48,1.061384535,LUX,rve468,LL,rep1
51,0.938706558,LUX,rve468,LL,rep1
54,0.640704562,LUX,rve468,LL,rep1
57,0.388161756,LUX,rve468,LL,rep1
24,0.824200587,LUX,cca1lhyrve468,LL,rep1
27,0.854491018,LUX,cca1lhyrve468,LL,rep1
30,0.900717921,LUX,cca1lhyrve468,LL,rep1
33,1.246271507,LUX,cca1lhyrve468,LL,rep1
36,1.011203118,LUX,cca1lhyrve468,LL,rep1
39,1.386005592,LUX,cca1lhyrve468,LL,rep1
42,1.116253144,LUX,cca1lhyrve468,LL,rep1
45,0.927492425,LUX,cca1lhyrve468,LL,rep1
48,0.903116621,LUX,cca1lhyrve468,LL,rep1
51,0.902440918,LUX,cca1lhyrve468,LL,rep1
54,0.819993425,LUX,cca1lhyrve468,LL,rep1
57,0.793140326,LUX,cca1lhyrve468,LL,rep1
24,1.015956285,LUX,cca1lhy,LL,rep1
27,1.289663016,LUX,cca1lhy,LL,rep1
30,1.395082397,LUX,cca1lhy,LL,rep1
33,1.122731704,LUX,cca1lhy,LL,rep1
36,0.76598275,LUX,cca1lhy,LL,rep1
39,0.916527254,LUX,cca1lhy,LL,rep1
42,0.903309293,LUX,cca1lhy,LL,rep1
45,1.234022134,LUX,cca1lhy,LL,rep1
48,1.443743567,LUX,cca1lhy,LL,rep1
51,1.140733549,LUX,cca1lhy,LL,rep1
54,0.741381377,LUX,cca1lhy,LL,rep1
57,0.979450279,LUX,cca1lhy,LL,rep1
24,0.439913138,LUX,Col,LL,rep2
27,0.370211436,LUX,Col,LL,rep2
30,0.527665544,LUX,Col,LL,rep2
33,1.595854084,LUX,Col,LL,rep2
36,1.559211603,LUX,Col,LL,rep2
39,0.739172752,LUX,Col,LL,rep2
42,0.525291623,LUX,Col,LL,rep2
45,0.624295648,LUX,Col,LL,rep2
48,0.457758011,LUX,Col,LL,rep2
51,0.399048989,LUX,Col,LL,rep2
54,0.786979709,LUX,Col,LL,rep2
57,0.901239091,LUX,Col,LL,rep2
24,0.744103109,LUX,rve468,LL,rep2
27,0.59000799,LUX,rve468,LL,rep2
30,0.482528478,LUX,rve468,LL,rep2
33,0.426358142,LUX,rve468,LL,rep2
36,0.799536628,LUX,rve468,LL,rep2
39,1.2596464,LUX,rve468,LL,rep2
42,1.816498354,LUX,rve468,LL,rep2
45,1.772295387,LUX,rve468,LL,rep2
48,1.086272969,LUX,rve468,LL,rep2
51,0.771245882,LUX,rve468,LL,rep2
54,0.576790026,LUX,rve468,LL,rep2
57,0.529116008,LUX,rve468,LL,rep2
24,0.651359551,LUX,cca1lhyrve468,LL,rep2
27,0.778362565,LUX,cca1lhyrve468,LL,rep2
30,0.477553736,LUX,cca1lhyrve468,LL,rep2
33,1.006713598,LUX,cca1lhyrve468,LL,rep2
36,0.924327112,LUX,cca1lhyrve468,LL,rep2
39,1.295786165,LUX,cca1lhyrve468,LL,rep2
42,0.79820398,LUX,cca1lhyrve468,LL,rep2
45,0.964325426,LUX,cca1lhyrve468,LL,rep2
48,0.742212279,LUX,cca1lhyrve468,LL,rep2
51,0.868987739,LUX,cca1lhyrve468,LL,rep2
54,0.884090686,LUX,cca1lhyrve468,LL,rep2
57,0.887298971,LUX,cca1lhyrve468,LL,rep2
24,0.805488413,LUX,cca1lhy,LL,rep2
27,1.067642286,LUX,cca1lhy,LL,rep2
30,1.244707571,LUX,cca1lhy,LL,rep2
33,1.080793131,LUX,cca1lhy,LL,rep2
36,0.851675497,LUX,cca1lhy,LL,rep2
39,0.87088661,LUX,cca1lhy,LL,rep2
42,0.882775599,LUX,cca1lhy,LL,rep2
45,1.021649751,LUX,cca1lhy,LL,rep2
48,1.107243477,LUX,cca1lhy,LL,rep2
51,1.037931372,LUX,cca1lhy,LL,rep2
54,0.986224517,LUX,cca1lhy,LL,rep2
57,0.906307332,LUX,cca1lhy,LL,rep2
24,0.272586862,TOC1,Col,LL,rep1
27,0.295675045,TOC1,Col,LL,rep1
30,0.370621568,TOC1,Col,LL,rep1
33,1.244973005,TOC1,Col,LL,rep1
36,1.102663404,TOC1,Col,LL,rep1
39,1.261445691,TOC1,Col,LL,rep1
42,0.718815633,TOC1,Col,LL,rep1
45,0.569767398,TOC1,Col,LL,rep1
48,0.332039255,TOC1,Col,LL,rep1
51,0.533453653,TOC1,Col,LL,rep1
54,0.692535541,TOC1,Col,LL,rep1
57,0.660044193,TOC1,Col,LL,rep1
24,0.974852368,TOC1,rve468,LL,rep1
27,0.864833225,TOC1,rve468,LL,rep1
30,0.373585522,TOC1,rve468,LL,rep1
33,0.402717287,TOC1,rve468,LL,rep1
36,0.344886989,TOC1,rve468,LL,rep1
39,0.449337554,TOC1,rve468,LL,rep1
42,1.124439616,TOC1,rve468,LL,rep1
45,1.251783696,TOC1,rve468,LL,rep1
48,1.065127276,TOC1,rve468,LL,rep1
51,1.183394723,TOC1,rve468,LL,rep1
54,1.038307709,TOC1,rve468,LL,rep1
57,0.393854966,TOC1,rve468,LL,rep1
24,0.497186804,TOC1,cca1lhyrve468,LL,rep1
27,0.639004438,TOC1,cca1lhyrve468,LL,rep1
30,0.451392682,TOC1,cca1lhyrve468,LL,rep1
33,0.822154707,TOC1,cca1lhyrve468,LL,rep1
36,0.546129431,TOC1,cca1lhyrve468,LL,rep1
39,1.246483952,TOC1,cca1lhyrve468,LL,rep1
42,1.080725431,TOC1,cca1lhyrve468,LL,rep1
45,0.853327916,TOC1,cca1lhyrve468,LL,rep1
48,0.824497912,TOC1,cca1lhyrve468,LL,rep1
51,0.751173054,TOC1,cca1lhyrve468,LL,rep1
54,0.849928975,TOC1,cca1lhyrve468,LL,rep1
57,0.798213596,TOC1,cca1lhyrve468,LL,rep1
24,1.055691426,TOC1,cca1lhy,LL,rep1
27,1.379032263,TOC1,cca1lhy,LL,rep1
30,1.573137779,TOC1,cca1lhy,LL,rep1
33,2.773942361,TOC1,cca1lhy,LL,rep1
36,1.600814676,TOC1,cca1lhy,LL,rep1
39,1.363145129,TOC1,cca1lhy,LL,rep1
42,1.145086253,TOC1,cca1lhy,LL,rep1
45,1.645966366,TOC1,cca1lhy,LL,rep1
48,1.775709644,TOC1,cca1lhy,LL,rep1
51,1.788626204,TOC1,cca1lhy,LL,rep1
54,1.651138607,TOC1,cca1lhy,LL,rep1
57,1.231306223,TOC1,cca1lhy,LL,rep1
24,0.381150153,TOC1,Col,LL,rep2
27,0.366776271,TOC1,Col,LL,rep2
30,0.393224529,TOC1,Col,LL,rep2
33,1.003941075,TOC1,Col,LL,rep2
36,1.669686706,TOC1,Col,LL,rep2
39,1.243090616,TOC1,Col,LL,rep2
42,0.838876328,TOC1,Col,LL,rep2
45,0.665229982,TOC1,Col,LL,rep2
48,0.425297465,TOC1,Col,LL,rep2
51,0.315207485,TOC1,Col,LL,rep2
54,0.68398177,TOC1,Col,LL,rep2
57,0.962742006,TOC1,Col,LL,rep2
24,1.076053523,TOC1,rve468,LL,rep2
27,0.619418759,TOC1,rve468,LL,rep2
30,0.424579871,TOC1,rve468,LL,rep2
33,0.30545452,TOC1,rve468,LL,rep2
36,0.487439431,TOC1,rve468,LL,rep2
39,0.607998345,TOC1,rve468,LL,rep2
42,0.851211089,TOC1,rve468,LL,rep2
45,1.423302081,TOC1,rve468,LL,rep2
48,1.212351119,TOC1,rve468,LL,rep2
51,0.971869817,TOC1,rve468,LL,rep2
54,0.747250091,TOC1,rve468,LL,rep2
57,0.522001927,TOC1,rve468,LL,rep2
24,0.418915956,TOC1,cca1lhyrve468,LL,rep2
27,0.724878201,TOC1,cca1lhyrve468,LL,rep2
30,0.250462439,TOC1,cca1lhyrve468,LL,rep2
33,0.554529297,TOC1,cca1lhyrve468,LL,rep2
36,0.474519818,TOC1,cca1lhyrve468,LL,rep2
39,1.408664197,TOC1,cca1lhyrve468,LL,rep2
42,0.489975517,TOC1,cca1lhyrve468,LL,rep2
45,1.192385431,TOC1,cca1lhyrve468,LL,rep2
48,0.885207395,TOC1,cca1lhyrve468,LL,rep2
51,0.766265787,TOC1,cca1lhyrve468,LL,rep2
54,0.836171877,TOC1,cca1lhyrve468,LL,rep2
57,0.520936331,TOC1,cca1lhyrve468,LL,rep2
24,0.66980494,TOC1,cca1lhy,LL,rep2
27,0.98046591,TOC1,cca1lhy,LL,rep2
30,1.093828031,TOC1,cca1lhy,LL,rep2
33,1.560002763,TOC1,cca1lhy,LL,rep2
36,1.279400373,TOC1,cca1lhy,LL,rep2
39,0.902581521,TOC1,cca1lhy,LL,rep2
42,0.890980052,TOC1,cca1lhy,LL,rep2
45,1.187291775,TOC1,cca1lhy,LL,rep2
48,1.247149939,TOC1,cca1lhy,LL,rep2
51,1.073648521,TOC1,cca1lhy,LL,rep2
54,1.326559786,TOC1,cca1lhy,LL,rep2
57,1.207831652,TOC1,cca1lhy,LL,rep2
24,0.422584654,ELF4,Col,LL,rep1
27,0.259180171,ELF4,Col,LL,rep1
30,0.331190311,ELF4,Col,LL,rep1
33,1.33673486,ELF4,Col,LL,rep1
36,2.650543287,ELF4,Col,LL,rep1
39,1.565759854,ELF4,Col,LL,rep1
42,1.064584753,ELF4,Col,LL,rep1
45,0.86572323,ELF4,Col,LL,rep1
48,0.640633839,ELF4,Col,LL,rep1
51,0.328197548,ELF4,Col,LL,rep1
54,0.463046728,ELF4,Col,LL,rep1
57,0.649054327,ELF4,Col,LL,rep1
24,0.989462883,ELF4,rve468,LL,rep1
27,0.510964244,ELF4,rve468,LL,rep1
30,0.288166868,ELF4,rve468,LL,rep1
33,0.286140874,ELF4,rve468,LL,rep1
36,0.255589853,ELF4,rve468,LL,rep1
39,0.637033967,ELF4,rve468,LL,rep1
42,1.578569335,ELF4,rve468,LL,rep1
45,1.387776858,ELF4,rve468,LL,rep1
